review_text,star_rating,domain,restaurant_name
"Firstly - your app is shocking.It's so glitchy and slow. It also has an odd habit of omitting biometric which is enabled leaving me to guess the password. Which of course I can't. I set a difficult password so it means resetting.I don't need that when I'm at the store in a rush.It actually puts me off visiting a store.Then there's the store .....there's absolutely no care from the staff.They look bored and grunt when asked a question.What's dished up is a pale imitation of what's displayed on your glossy ads.It seems all fast food outlets are much the same.A well known burger joint in my area is appaling.Again, what's thrown out is monstrous.My branch is Finsbury Park in London.What with the dire app and the below average food I doubt I'll be visiting again any time soon.",1,restaurant,Subway
Got a sandwich with no fillingSales person was rudeNot the experience I was expecting,1,restaurant,Subway
They suck tried to call them. Tell them about a problem it said they mailbox full the one in buckingham how the heck you gonna run a business with full mailbox really couldn't even get no one in the phone,1,restaurant,Subway
First of all the lady making my sub was super unfriendly. Apparently her customers were a burden. I had a 6 inch steak and cheese...what a joke. This small scoop of cheese with the tiniest amounts of vegetables and priced like you are getting quality. Thanks for the expensive bread!! It has been a few years since I have gone there and it will be a life time before I ever go again for this exact reason.Subways across the board need to do better!,1,restaurant,Subway
"Portishead branch. Only 2 machines out of 4 working. Then Machine I was ordering on froze. Both staff totally ignored me when I tried to speak to them..after third attempt, and them both still ignoring me, I walked out. ..absolutely disgusting treatment to customers. Will never go in there again.",1,restaurant,Subway
"Absolutely disgusting! Advertising ""any size pizza from £7.99"" to find out that real price is £16. Its a joke",1,restaurant,Pizzahut
Worst experience EVER.  WAS WAITING IN DRIVE THROUGH FOR OVER AN HR. AND PIZZA WAS SUPPOSED TO TO BE READY OVER AN HR AGO. THEY COME TO THE DRIVE THROUGH AND SAY HEY.  I TOLD THEM MY NAME. AND THEY NEVER CAME BACK. THE PEOPLE IN THE PIZZA HUT ARE ALL GETTING THE WRONG ORDERS AND GIVING OUT COLD PIZZAS. THIS IS A FREEKING JOKE OF A BUSINESS IN ROCKMART GEORGIA. HORRIBLE MANAGEMENT,1,restaurant,Pizzahut
"Food was hours late, cold and crushed",1,restaurant,Pizzahut
What's access to my account because they took away the password login and I didn't update my phone number because I never used my telephone number on the app so I had no reason to update it so I lost all my points because they decided to update something that nobody asked for! on the app so I had no reason to update it so I lost all my points because they decided to update something that nobody asked for!,1,restaurant,Pizzahut
would give 0 if i could! The pizza and garlic bread was cold and the delivery was late. The ice- cream had melted and the top opened when it was delivered so went straight in the bin. Will not be using pizza hut again.,1,restaurant,Pizzahut
Pizza wasn't that great and wasn't cut properly at all they also almost forgot to give us our drinks and there were pepperonis on the side that wasn't supposed to have any.,1,restaurant,Pizzahut
"Beyond there app being totally worthless, having and order out for delivery for over an hour you know exactly what I received. Cold crappy food. The worst part is Pizza Hut requires a tip at time of purchase.Done with this crap place, deleted app and disputed charge with credit card company",1,restaurant,Pizzahut
"Please don’t do it, order from Pizza Hut, we’ve been waiting 2 hours. No Bournemouth based Pizza Hut is answering their phones, a complete fiasco. I’m ending my relationship with this Cowboy Company they must be on the way out.",1,restaurant,Pizzahut
"I ordered 1 pan Canadian bacon, pineapple, jalapeño, onion  and 1 pan meat lovers.I got 1 hand tossed  ham, jalapeño and onion and 1 thin pork and pepperoni with no sauceThey were more worried about hanging Christmas lights, than taking care of customers .Too high, poor quality, customer service.I won’t make that mistake again!!",1,restaurant,Pizzahut
Pizza Hut on Wilma Rudolph in Clarksville Tn is the worst Ever!!!!!!!!!!! Second time ordering and will be the last time!I wish I could upload a photo  43 dollars for burnt dry trash pizza!! Cashiers have  no hospitality and no customer service skills what so ever are horrible managers are horrible .,1,restaurant,Pizzahut
Terrible service. Still get spam despite unsubscribed 3 times. How many times do I have to do it to stop getting  those spam emails?,1,restaurant,Pizzahut
I placed an order today for two tavern style pizza’s and chicken Alfredo it was the worst meal ever it was definitely not worth what I paid for and ended up giving it to someone but they also said they did not like !,1,restaurant,Pizzahut
"I ordered a pizza with NO sauce and PLANT BASED CHEESE because I am intolerant to tomato and dairy. You have 3 options, BBQ sauce, Tomato sauce or leave the tick box blank (I have done this many times) however I received a pizza with dairy cheese and tomato sauce on. I contacted through Uber and received no reply. No refund and will have to get a chargeback. I also starved tonight and had no food.",1,restaurant,Pizzahut
"For the Love of God AVOID Them. This is the third time our order shows delivered but hasn’t actually left the restaurant. I can assess them in 3 words, sad, sad, sad. And the quality of the food, sub-standard.",1,restaurant,Pizzahut
"I ordered a pizza from Westcliff-on-Sea branch at 20.35 pm. Received email to confirm estimated delivery time between 2100 to 2110. I have been sent text messags, uber driver is at my address...its nearly 2200 hours!!!  Driver never turned up and received another message notifying me the order had been cancelled.  Called the store to be told they dont know why driver didn't arrive and sending another pizza. Its past 2200 hours..over 1 and 1/2 hours later and still waiting. Appalling service, will not be ordering from here again.Please note the person at the westcliff store was sympathetic and patient. However, it doesnt help me.",1,restaurant,Pizzahut
"Well, on an average me and my daughter go there once or twice a month to have lunch and it’s always been good except for yesterday. This is the most horrible food I’ve ever tasted and it’s the only reason why is because everything was basically burnt. I can’t remember what I ordered, but she ordered a three selections and so did I But that was horrible. I mean it’s not even edible and there is three people working there, but it was yesterday probably around 11 that we were there so that way you can check the employees that we’re working and I’m in Medford Oregon. I didn’t go up and say anything to them because they all look angry lol sorry. But they did anyways it would be nice to be compensated for this and I don’t mean get money back but get two more meals that’s great because I’m sure it’s not gonna be burnt the next time.Thank you so much, Brenda",1,restaurant,Pandaexpress
"4765 Weitzel St, Timnath County. We arrived at 9:30 and they only had 3 types of stews, and one of them was dry. The food didn't look good at all. I really don't recommend it. The service was also bad; they were annoyed because they had to make more food even though the closing time is 10:30. The business closing time was very poor. In my experience...",1,restaurant,Pandaexpress
Do not go apply for a job at this place the lady that owns the store will not hire people over 40 to work in front of the store this is discrimination I will never eat her again and I intend to file a complaint with a better Business bureau and the Labor commission,1,restaurant,Pandaexpress
"I rarely get the opportunity to eat out, so imagine how excited I was when I pulled up to Panda Express. I ordered my favorite, 2 walnut shrimp entrees and a side, LISTED ON MENU for $10.50.The girl taking my order asked if I was aware of the $1.50 up-charge for 'P'remium items. I asked where it stated this in the menu. She stated it was, however, there is ZERO mention of ANY extra charge. I asked her why she was trying to extort extra money from me for the item listed at $10.50. She said it was 'policy'. I asked her where this 'policy' was stated on the menu... it isn't. What the hell?? I told her I would pay the extra if the policy was listed on the menu. She started trying to explain the up-charge again.I told her, keep your food, I'll take my business to another Chinese restaurant that doesn't try to charge more than their menu prices.",1,restaurant,Pandaexpress
When I stepped up to the counter the server nearest me turned to his associate to continue his conversation.  I complained and left.  The Teriyaki place across the street got my business.,1,restaurant,Pandaexpress
"I would do zero stars if I could. Panda Express in Redmond WA. Don't order delivery. First off they want a tip before you even receive your food. Secondly if the tip is not enough they won't even deliver. Just say you put no tip and had cash, they miss out on  Money they attitudes towards delivery seemingly are desperate for and hender them from getting, also risking bad reviews which obviously Panda Express loves or they would do better. Next .. I also guess Panda Express would rather lose customers lmao, than to tell their friends and family who deliver to respect their business. Another lmao cause I won't EVER have another problem with Panda Express because I'm done with them period, whether delivery pick up or dine in! I hope they realize in WA State, there are dozens of restaurants that serve what they CALL Chinese food.... Again lmmfao",1,restaurant,Pandaexpress
"I placed an order through the app and it wasn't ready when I arrived. It was for one meal, so there's no excuse. How is it that all these other people that order through the drive thru can get get their meals right away, and I couldn't with the mobile order?",1,restaurant,Pandaexpress
"Once again the Piece of SHIT store failed . I will never go back, DO NOT BUY FROM THEM. They opened for maybe an hour, I ordered, they didnt have it 10 minute wait, I ordered something else, they DIDNT have it, 7 minute wait. She told me, WHAT DO YOU EXPECT, WE JUST OPENED AN HOUR AGO. LMAO... Never again. The last time I got food from the Centenial las vegas store it was Terrible. Sloppy and tasted like crap, I tossed it in the trash. Stay away from this place.",1,restaurant,Pandaexpress
"Noodles we're horribly under cooked. Teriyaki chicken, which is usually fantastic, had zero flavor. Used to go there all the time and be happy. All in all, just bad food. Actually signed up for the Panda Express app yesterday and dropped it the very next morning. EVERYONE, PASS THIS ONE OR YOU WILL BE HIGHLY DISAPPOINTED.",1,restaurant,Pandaexpress
"Terrible service, especially  regarding their dishes. I ordered a broccoli  and beef plate, and I only received two slices of beef! I will not be going back..",1,restaurant,Pandaexpress
"Sad to say that when your 1star reviews are 69% badand your 5 star reviews are 10%,,, Look at what people think of Panda,,, Be shamed by those numbers, we all know Panda will Never Change and get better for customers, they dont care what the reviews say or how many customers that they loose every day for the terrible Service, customer service and the nasty food.  Very Sad I went to the drive thru Centennial Center in Las Vegas and was the only car , 2 cars came in behind me, I ordered drove up to the window, the lady looked at me, set my food on the counter and went to the cash register, she took orders from the two cars behind me, set up their trays , all the time ignoring me and my food getting Ice cold sitting there. She ignored me for 10 minutes while getting the other people food, mine getting colder so I started my hummer looked at the lady again and as I put my car in drive she started over to the window but I drove Away and would tell everyone to drive Away when Panda Ignores you and lets your food get cold, Let the lady eat it, instead, it goes back in the pan to the next customer, Like Slopping the Hogs.. . Dont go here Las Vegas Centennial Center.",1,restaurant,Pandaexpress
"I thought I was ordering spring rolls but I got mushy garlic rolls, yuk!",1,restaurant,Pandaexpress
"Eating at a place like that my standards are generally low, but the Culver Center location in Los Angeles lowered that bar even more.  Louzy service, louzy food and trying to rip me off on top of it by charging me for an item I ordered by they ran out of and the server didn't bother telling me.  When I asked her why I paid for an order I didn't get she snapped ""We don't have any!""  Unreal.  Can not figure out why this place is so popular.",1,restaurant,Pandaexpress
Do not go to panda express on e nine mile rd Pensacola.  They do not speak food look very old. No one spoke we walked out would not have feed my dog there.,1,restaurant,Pandaexpress
"What went wrong is my food was delivered to the wrong address? And I couldn't get ahold of the delivery. Driver, he wasn't picking up this phone or answering the text messages. I called panda, spoke to the manager and he said there was nothing he could do so I was out $32.  And out the food he told me to call DoorDash.Because even though the app was panda's DoorDash ran it.The number he gave me was busy all night long!!!!!!! I won't ever go back.There's too many fast foods and I won't recommend it to anybody.They were rude inconsistent.And I'm on a fixed income and 68 years old.I don't need to be treated this way!!!!!!¡!",1,restaurant,Pandaexpress
The Customer service at the Dunkin near Lake Clarke Shores is consistently horrible. If they mess up the order it’s my fault for saying it wrong. Even if my receipt is also saying it. Then they are angry with me for making them redo it and then they redo wrong anyway. I just have to accept it and move on. I will gladly go out of my way for Starbucks from now on. As I prefer their coffee and employees better!,1,restaurant,Dunkindonuts
"⭐ 1 Star ReviewI visited the Dunkin’ Donuts on Alfreton Road, Nottingham on 11/11/2025 at around 6:45 PM, and unfortunately, I had a very disappointing experience.One of the staff members — an Asian man, around 45–50 years old — was extremely rude to me. I only asked for an extra cup, and he charged me 50p, which is fine if that’s the policy, but the way he spoke to me was very unprofessional and disrespectful.I usually come to this branch often and have always been happy with the service, but this time it was very unpleasant. I hope the management looks into this and ensures customers are treated with more respect in the future.",1,restaurant,Dunkindonuts
"Stopped to get a dozen lemon filled donuts, I was told they have been discontinued. I ask for a dozen chocolate filled donuts and was told they were discontinued.I was offered some old cream filled donuts 😂Good bye Dunkin’ Donuts",1,restaurant,Dunkindonuts
"We went inside to order and the staff were all stood chatting and laughing when we were waiting at the counter to order, the wait times on the drinks were extremely long and even though it was busy the staff didnt seem to rush. i tried to order with my student discount where i was told i had to get the app in which she ended up making me the wrong drink and i therefore couldnt drink it as it was not what i wanted. there were 4 of us that went and all of us were extremely disappointed in this experience as many people who ordered before us had there orders finished before we got ours",1,restaurant,Dunkindonuts
"355 Broadway, Amityville, NY 11701 Now Wednesday August 27th we went to buy Ice Coffee at that store but the people who are there especially two Hispanic girls are very disgusting and they speak very badly to the people also the manager who is there is very disgusting when you tell him not to put too much ice they say that it is a rule and that they can't take away the ice and they put too much ice in the coffee and they speak to him in a very bad way",1,restaurant,Dunkindonuts
"We ordered the value breakfast - 2 wraps and a coffee.  Then we added an iced Signature Latte and 2 Boston Creme donuts.  The latte tasted good, just too much ice and too costly.  We went through the drive thru so we took the ice out when we got home so it didn't water down the drink.  The wraps were a little chewy on the edges.  The cheese tasted weird.  The donuts were good and not as expensive as Sheetz donuts have become.  The coffee that I ordered with the meal was just a medium hot coffee with creamer in.  It was watered down and did not taste very good.  The service was friendly, though.  Don't think I'll be going back.",1,restaurant,Dunkindonuts
"Ordered online for a holiday treat for the kids. Received a box of squashed melted garbage. Would add photos if I could. Unbelievably gross. Dunkin immediately promised a refund, 2 weeks later no refund and are now ignoring me. Never again. Krispy Kreme has much better customer service",1,restaurant,Dunkindonuts
"Ordered for my fellas 40th birthday as a birthday cake alternative. When they arrived on the day it looked liked they'd been run over repeatedly (including delivery this eyesore had cost me over £40).I put in a complaint to customer services, their original reply was quick and said they would issue a refund. It's been getting on for 2 weeks now and still no refund, only an email saying as they hadn't heard from me in 96 hours since that email are they to take the issue as being resolved? I replied no, as to date I haven't received my money back. Since that email i haven't heard from them since, and even tried opening up another complaint to match the other which they're choosing to not reply to either.Absolutely disgusting customer service, I dont understand how this company has got so big.",1,restaurant,Dunkindonuts
"The worst. I always order ahead on the app and walk up to the Dunkins 1 Mohawk Dr Londonderry, NH at the corner, then go inside and wait. They fill my order and put it on the pick up tray and every time throw away my receipts. They never offer you a receipt and when I asked for mine today, the associate snapped at me. I threw it out. So I said I needed it and she dug through the trash and threw a receipt that wasn't even mine, that was filthy dirty on the serving tray where they leave the pick up food. As most business owners you write things off on your taxes.I asked to speak to the manager and she approached the manager and said I was being an a--hole. The manager said we always throw them away, it's normal practice and I informed her that was not the right way to do business. I informed her I would reach out to the corporate office about the attitude they both had with me and she said go ahead. So I will do so.It is essential to provide customers with a receipt or proof of purchase, so they are able to show evidence of the purchase when seeking a business tax write off, refund, repair, or replacement.",1,restaurant,Dunkindonuts
Went to DD Fosse Park Leicester we were the only ones at the counter but had to wait 10 mins to be served it was being ran by 3 very miserable women who basically couldn’t care less if you were served or not. Was untidy.,1,restaurant,Dunkindonuts
"This morning I was hungry, so I got two breakfast hashbrown wraps with no egg but insted of that I was given the Great Depression in a wrap their was NO hashbrowns and one of my wraps only had one damn slice of backon that tasted like the definition of charcoal needless to say I'm not impressed and belive that a pile of rocks could have done better now I'll have to spend the rest of my life with this traumatic experense. I fear my stomach will never forgive me.",1,restaurant,Dunkindonuts
Stale donuts dirty locations you can also tell that their donuts are refrigerated. Employees don't even smile,1,restaurant,Dunkindonuts
"Went in there this morning, the redhead lady that works there. I guess she's the manager. She's not very nice. She doesn't greet people. She has a mean look on her face and her Customer Service is a -10 out of 10. I will never go to this Dunkin' Donuts again ever.",1,restaurant,Dunkindonuts
A worker named Jesica is very disrespectful and she threatened my son.,1,restaurant,Dunkindonuts
"This Dunkin’ sucks, they close their oven way too early. It’s incredibly bothersome. I think they should extend their hours if they wanna make more profit.",1,restaurant,Dunkindonuts
tastes absolutely terribleit was delivered in a timely fashion but jesus christ no customer support price or delivery wait is worth that awful flavour,1,restaurant,Papajohns
I downloaded the app then placed an order for a large pizza looking at checkout for a promo code option but for some reason it was on the home screen at the bottom. Then after all this I order it at 7 40 pm UAE  time it arrives at 10 pm. While I am waiting for the pizza a 15 day valid code pops up expired in June and it is September. I call customer service twice at 8 40 pm after waiting an hour after I ordered the place is 5 minutes on maps BTW. They had said it was cancelled I went to bed and a random number is calling me with the pizza at 10 04 pm. I tried explaining to him but we were confused as each other his timeline was 15 minutes. In the end we got cold pizza. Horrible papa John's,1,restaurant,Papajohns
"It was in late , like 45 mins and after all the driver was rude . A d when I told them I'm gonna complain,  the man on the phone told me me , ok , ot is alright,  everyone complain.... I Payed a lot of money for something I don't know what I received... it is pizza or spit? I couldn't eat anyway",1,restaurant,Papajohns
"I worked for a Papa John’s franchise in Sumqayit, Azerbaijan, and I was forced to leave due to unethical and illegal treatment of employees.My contract location was changed without consent, paid leave was not granted, and employment agreements were handled verbally without documentation. The number of documented employees differs significantly from the actual workforce.These practices violate the Labor Code of Azerbaijan and international labor standards.I have submitted a formal complaint to local authorities and attempted to contact Papa John’s International privately, but there has been no response yet.I am sharing this publicly in hopes that the company will take responsibility and enforce proper compliance from its franchisees.",1,restaurant,Papajohns
"I received a 4th of July BOGO text coupon code but when I tried to place the order, I only received an error message that the coupon code was invalid.Text message:""Papa Johns: July 4th BOGO! Buy 1 large or xl pizza, get 1 FREE using code: FIREWORKS50 brz ai /p/ Hjyta24I/D2I4KM Reply STOP to unsubscribe.""Error message on checkout page:Oops Your promo code is not valid. Check out Papa Rewards for the best deals from Papa Johns!View Our Deals Page",1,restaurant,Papajohns
Would give a 0 if I could. This pizza has to be the worst pizza I have ever had. Ordered the Shaq-A-Roni pizza. Their picture shows alot of pepperoni on it and cheese. Mine came with less than half of their photo and almost no cheese. Worst pizza I have ever had. They do not give you like the photo. Not even half.,1,restaurant,Papajohns
"I placed an order May 21, 2025 @ 2:09PM at the Papa Johns located at2430 S Interstate 35 E. Denton, TX 76205. I arrived at the location to see a young lady preparing pizza's. I stood there in SHOCK she was using her bare hands (NO GLOVES) picking up different ingredients and putting them on the pizza. Once I got her attention to get my pizza she brought it to me and went to the back behind a door and then came out with her phone in her right hand texting then she continued to pick up ingredients again and place them on the pizza she was preparing. I called her over to the counter and I asked her about wearing gloves...""So you don't wear gloves while preparing pizza?"" Nonchalant she just stood there. I politely said "" I Do Not Want This Pizza Just Refund Me. Thank you.. JUST NASTY.. Moving Forward I'm reminded to just PREPARE My OWN FOOD. I can't begin to tell you how disgusted I am just thinking about it.",1,restaurant,Papajohns
"They told US 15 minutes for the pizzas, we waited more than 1 our and half and the shop was empty, never again",1,restaurant,Papajohns
ordered online. when it said ready to collect so...i did so  but pizza barely started. had to wait another 10 minutes. if you are going to lie this blatantly to your customers don't get an app to do the lying for you.very very mediocre pizza after all that.,1,restaurant,Papajohns
Advertise a spicy pizza it’s as spicy as my mums toe nail what a rubbish pizza,1,restaurant,Papajohns
Did not receive what I ordered. Ordered extra large All The Meats pizza with Spicy Italian Sausage and onions added to it and had it delivered. I didn't receive an All The Meats that I ordered but ended up receiving a cheese pizza with a few pieces of regular Sausage and some onions on it and no other Meats. VERY disappointed.,1,restaurant,Papajohns
I have watched the Latest Papa Johns TV Commercial several times and was NOT Impressed With The Scraggly Looking Crew on the job in that advertisement.... It makes me wonder about the people that are preparing the Pizza for my Family and Friends at Papa Johns ? NOT GOOD.....,1,restaurant,Papajohns
Waited over hour and 20 min for my pizza ran the store 3 times and the person in charge cut me off put the phone down and wouldn’t answer again so I made a complaint to papa johns twice guess what no email of any kind mount of money your paying for papa johns now they should be emailing or ringing us just want to take your money so keep away rude expensive and no help at all,1,restaurant,Papajohns
"On 12/31/2024 we ordered food online through store 2684. We received another customer's order instead. We attempted to call the store, but they would not answer the phone. We contacted customer service online, who also was unable to contact the store. Customer service then stated they would send a gift card to us as a refund. They did not and have since denied they agreed to do so. I guess Shaq decided he need an extra $43.067",1,restaurant,Papajohns
"Called the store to ask for half pepperoni half back on  and the guys said no . Because it was a n uber order he also hung up on me it was the eglington and confereration store . Then they sent me an open 2 l bottle of pop in the bag with a puddle the dips were swimming in it , the pizza was horrible, cold , barely any toppings , hardly any cheese . Cardboard! Never order from them . Garbage. Nasty I am not joking!",1,restaurant,Papajohns
"I wish I could give zero stars. I was halfway through my meal when I noticed a long strand of hair wrapped around my fork — not just near the food, but tangled in it. Completely unacceptable.This wasn’t a minor slip-up. It shows a serious lack of attention to hygiene and food safety. I flagged it to the staff, and the response was underwhelming — no real apology, no urgency, just a weak offer to replace the meal. As if I’d want a second helping after that.I won’t be coming back. If you care about cleanliness and basic standards, think twice before eating here.South Plainfield NJ",1,restaurant,Chipotle
"Chipotle Mexican Grill Tottenham Court Road.The food arrived in a disgusting condition. It was cold, soggy and hadn't been packed correctly so one food had contaminated another, meaning food allergies could have been compromised. I have a wheat allergy and my daughter had ordered a burrito. This company doesn't care about the health and safety of it customers. Completely disgusted",1,restaurant,Chipotle
There’s not a garbage restaurant chain as this. Never a good experience.,1,restaurant,Chipotle
Chipotle is not the same any more.  The bowls and burritos always come sloppy.  The amount of protein they add is inconsistent.  I also hate how you can literally lean over the seperation glass.  Every customer is breathing on the food.,1,restaurant,Chipotle
"Chipotle at 1736 N Federal Hwy in Fort Lauderdale Fl has a defective women's toilet that has not been fixed in two years since first being told about the problem. The seat was only connected on one side and it slide and was dangerous. Two years ago a manager said it would be fixed and IT IS STILL NOT FIXED. As a matter of fact, there is NO TOILET SEAT anymore for the last month or more. This is not a slum area, why are you treating your customers like it is a slum? Why is your staff so incompetent? It does not take a rocket scientist to fasten a new toilet seat to a tank. SERIOUSLY. You are a derelict company and if you can't keep a toilet working well, I can only imagine the vermin in your food. DISGUSTING.",1,restaurant,Chipotle
"Terrible experience. Ordered through the app, after 50 minutes the restaurant told the driver to cancel because they were “closing soon.”No real customer support, only a useless bot. Paid with credit card + points and never got a refund. Very disappointing and sadly, Chipotle has been going downhill lately even in their restaurants, not just with delivery.",1,restaurant,Chipotle
"A new low even for Chipotle...Years ago Chipotle used to be our go to for fast, delicious, healthy food for a fair price.Today we barely go to Chipotle anymore.  Our recent visits in many locations all over the U.S. have been disappointing and in result more infrequent.  Prices keep going up, protein portions keep going down.  My visit to the Brownsburg, IN Chipotle is my last visit to Chipotle.Protein portions have gone from fair, to miniscule, to you should be happy with ""essence of protein... because there is none"".  When I protested, I was told that was the normal portion size and I should order chicken instead of steak.  But...I don't want chicken, I want steak.I left.Two more coworkers pulled into the Chipotle parking lot and left after I described my experience.Congrats, Chipotle.  You lost another 30 customers.It's not going to get better.Chipotle's CEO: “Much of what we’re experiencing right now is due to macro and the consumer. The low-income consumer is looking for value as a price point at present,” Boatwright stated. ""Not True.  Everyone wants to get what they paid for.",1,restaurant,Chipotle
"Chipotle was actually pretty good when it started out; we had it about 25 years ago in Tucson. In recent years (maybe the past 10) it has just gotten worse and worse. What gets me the most is the consistent lack of cleaning and maintenance in the dining area. Garbage, food residue and no forks! I have lots of other gripes, but it is clear that the owners don't care enough to change, so I won't waste my effort typing a useful critique",1,restaurant,Chipotle
Not the first time we've gotten brown gross guac. Last time it happened it actually smelled spoiled.,1,restaurant,Chipotle
"i am really disappointed in the fact that i ordered a chicken bowl with white rice, corn and black beans and i got home and couldn't enjoy it. what did they do pour a box of black pepper in it because it was to HOT to eat/ i understand mexican grill but the cook need to lighten up on the spicy seasoning",1,restaurant,Chipotle
"My friend raves about Chipotle in Buckeye AZ and when I went with him in 2023 it was good, portions were fair, price was a bit high. Fall of 2024 I ordered a carne meal online to go. What happened!?! The ""carne"" was all grizzle and fat and looked and tasted like it had been scraped off the bottom of a burnt pan. There was barely a tablespoon, not that I would have wanted more of this disgusting muck. I ordered guacamole and if there was any, I didn't find it. The entire order looked and tasted like it was the leftovers they were getting rid of prior to starting fresh supper orders. I wouldn't give the ""carne"" to my dog. Not worth half the price they charged.",1,restaurant,Chipotle
They gave me no chicken at all and I DoorDash it and it came two hours late,1,restaurant,Chipotle
The portion are tiny. Filled up scoop then dumped half of it off then put on burrito. I paid 52 bucks for 20 dollars worth of food. This is pathetic. Never will i ever go to chipotles again.,1,restaurant,Chipotle
"There is strong reason to believe that the food was either contaminated, improperly handled, or unsafe for human consumption. This has raised significant concerns for my safety and the public health of other consumers.Let this review serve as a formal public notice that I intend to:•	File official complaints with the Better Business Bureau (BBB), U.S. Department of Justice Consumer Protection Branch, FDA, FTC, and local Health Department.•	Pursue civil proceedings against Chipotle Mexican Grill for pain and suffering, emotional distress, and other damages.•	Demand a formal investigation and appropriate settlement from Chipotle Corporate to address the harm caused.•	Alert other consumers to the risk of serious illness that may result from dining at this location.I strongly urge anyone reading this to exercise caution and report any health issues immediately if they experience something similar. Food safety should never be compromised, and I will not remain silent about this dangerous and unacceptable situation.I am prepared to escalate this to the fullest extent permitted by law.",1,restaurant,Chipotle
My experience was terrible.You should of been there to watch it unfold.for one thing there were rats running around.They did not give me chips. 🤮They are mean.The jannace girl just ASSUMED that my sister was getting food there.Ya jannace.you need to be fired.I am NEVER coming back.get out💩,1,restaurant,Chipotle
"""Large"" pizza measured 24cm diameter ... that's 36% smaller in area (ie, the actual amount of pizza you get) than a standard 30cm pizza. This surely makes their pizzas the most expensive on the market.  When I complained, they offered me a ""free"" pizza ... but I could only get the ""free"" delivered pizza by spending a minimum of another $21.90. Dominos seem to have forgotten that the main requirement from selling a pizza is the actual pizza.",1,restaurant,Dominos
I ordered and paid for a pizza that was never received. I complained to the store and left messages for the district mgr and got with no reply. This is unacceptable.,1,restaurant,Dominos
"Broken website reverts selection to ""carry out"" and does not allow me to order for delivery. Waste of time.",1,restaurant,Dominos
